Plant_ID,Temperature_C,Humidity_%,Soil_Moisture_%,Soil_pH,Nutrient_Level,Light_Intensity_lux,Health_Score,Health_Status
Plant_1,26.4901424590337,73.99355436586002,34.87232587538428,5.546096221061305,41.36506395035066,18728.72095393189,68.85918641766912,0
Plant_2,24.58520709648645,69.24633682912769,42.83221993926723,6.069807494610249,49.68796511060916,18639.75767484844,73.6906916626221,1
Plant_3,26.94306561430208,60.59630369920174,33.11370118500058,6.2931972332891775,50.18016872044446,14613.070482109955,70.57939816425755,1
Plant_4,29.56908956922408,53.53063222294426,40.38057705541439,7.443843828670095,54.72630345843406,19009.72942489569,74.52004181258862,1
Plant_5,24.29753987582999,66.9822331361359,16.595779995693213,6.778276562266879,36.331416367191736,22198.48724546524,77.85849689288811,1
Plant_6,24.29758912915246,63.93485385421749,48.19940561059408,5.832259215450055,55.92567273847331,16177.303642769615,88.37154486331384,1
Plant_7,29.737638446522176,68.95193220027733,45.01808213043336,6.743018144708818,22.95608368397225,23145.44795315178,76.78840961294297,1
Plant_8,27.302304187458727,66.35171801681969,32.74367053397714,5.726348005530817,43.70115447636189,21463.32446325301,64.14374293230408,0
Plant_9,23.591576842195146,70.49552715319335,54.88868502648607,7.0413455269435365,45.11726157548456,17797.300034086886,91.4006784649516,1
Plant_10,26.62768013075789,54.64764788439432,59.06355206439838,6.26443767409106,56.33326826071239,19575.411087986457,71.6290986638496,1
Plant_11,23.60974692156261,73.17394065634326,20.886602034465387,6.453181905630415,50.22630852676869,24794.9654229231,79.41279572895371,1
Plant_12,23.60281073928923,61.975996046924,33.55912832150679,7.162898323771096,35.944369461437134,22200.6434405176,84.46536506940711,1
Plant_13,25.725886814698104,80.75260872625265,33.46286475319053,5.856418215707875,40.15006874182985,20026.350964694444,81.99610418402783,1
Plant_14,19.260159266026605,53.10812181910432,30.90145348336703,5.801440907443505,51.98680009547407,19286.950049117047,90.94179547521476,1
Plant_15,19.8252465024609,77.3596380316525,57.44212262897623,6.208200336826998,49.20932658135444,20229.82721135498,84.7900314339276,1
Plant_16,23.313137412277083,61.97910783462648,42.09260791840795,7.0191894255096585,44.20875890364253,18464.70932617309,71.38690420302892,1
Plant_17,21.961506638996728,53.48581996385552,41.03227738034084,5.7403269622615785,45.19166210488021,13685.751482842956,101.78562173991662,1
